wsid,hr,temp,hmdy,wdsp,gust,gbrd
303,15,27.4,73.0,2.6,5.7,2535.827
303,0,21.9,89.0,1.1,2.6,0.0
303,4,23.8,96.0,0.6,2.3,0.0
303,0,23.2,77.0,3.0,7.5,0.0
303,20,25.4,69.0,3.7,8.6,309.815
303,6,19.6,96.0,1.2,3.0,0.0
303,9,24.6,71.0,2.0,6.5,117.308
303,16,27.7,50.0,4.1,10.3,3020.629
303,3,26.2,85.0,2.8,5.5,0.0
303,2,26.8,73.0,2.1,4.4,0.0
303,9,22.3,87.0,2.7,6.1,0.0
303,3,23.4,91.0,1.1,2.9,0.0
303,15,25.6,58.0,2.8,5.5,3364.628
303,21,26.3,85.0,0.7,4.0,23.747
303,2,23.9,86.0,0.7,2.4,0.0
303,3,25.7,80.0,2.0,6.8,0.0
303,0,22.4,67.0,2.0,6.1,0.0
303,11,19.5,76.0,1.3,3.5,731.268
303,1,25.7,84.0,2.0,5.2,0.0
303,4,23.2,89.0,2.0,7.1,0.0
303,20,21.8,59.0,3.2,8.3,190.466
303,11,20.2,81.0,1.7,3.4,477.437
303,6,16.8,94.0,1.1,2.0,0.0
303,9,23.9,83.0,0.9,2.8,131.362
303,22,27.7,77.0,1.8,8.7,10.334
303,10,26.7,61.0,3.9,9.3,1069.463
303,5,20.9,84.0,0.5,1.3,0.0
303,7,19.8,93.0,0.9,2.5,0.0
303,19,29.6,67.0,3.7,9.6,2084.764
303,16,24.9,46.0,3.0,7.6,2652.773
303,14,30.0,59.0,3.3,6.9,3182.264
303,0,26.0,61.0,4.0,9.3,0.0
303,16,27.7,60.0,2.7,10.1,2150.132
303,1,21.5,92.0,0.6,2.6,0.0
303,16,23.3,54.0,2.4,6.3,1116.305
303,14,20.5,93.0,1.0,5.3,507.744
303,10,25.1,75.0,2.8,7.0,1019.983
303,7,22.4,95.0,0.8,1.8,0.0
303,14,27.6,76.0,1.7,4.0,1324.906
303,18,28.1,66.0,4.2,9.5,2471.492
303,2,24.1,93.0,0.2,1.2,0.0
